bulbasaur,45,49,49,65,65,45,253,64
ivysaur,60,62,63,80,80,60,325,141
venusaur,80,82,83,100,100,80,425,208
charmander,39,52,43,50,50,65,249,65
charmeleon,58,64,58,65,65,80,325,142
charizard,78,84,78,85,85,100,425,209
squirtle,44,48,65,50,50,43,250,66
wartortle,59,63,80,65,65,58,325,143
blastoise,79,83,100,85,85,78,425,210
caterpie,45,30,35,20,20,45,175,53
metapod,50,20,55,25,25,30,180,72
butterfree,60,45,50,80,80,70,305,160
weedle,40,35,30,20,20,50,175,52
kakuna,45,25,50,25,25,35,180,71
beedrill,65,80,40,45,45,75,305,159
pidgey,40,45,40,35,35,56,216,55
pidgeotto,63,60,55,50,50,71,299,113
pidgeot,83,80,75,70,70,91,399,172
rattata,30,56,35,25,25,72,218,57
raticate,55,81,60,50,50,97,343,116
spearow,40,60,30,31,31,70,231,58
fearow,65,90,65,61,61,100,381,162
ekans,35,60,44,40,40,55,234,62
arbok,60,85,69,65,65,80,359,147
pikachu,35,55,30,50,50,90,260,82
raichu,60,90,55,90,90,100,395,122
sandshrew,50,75,85,30,30,40,280,93
sandslash,75,100,110,55,55,65,405,163
nidoran-f,55,47,52,40,40,41,235,59
nidorina,70,62,67,55,55,56,310,117
nidoqueen,90,82,87,75,75,76,410,194
nidoran-m,46,57,40,40,40,50,233,60
nidorino,61,72,57,55,55,65,310,118
nidoking,81,92,77,75,75,85,410,195
clefairy,70,45,48,60,60,35,258,68
clefable,95,70,73,85,85,60,383,129
vulpix,38,41,40,65,65,65,249,63
ninetales,73,76,75,100,100,100,424,178
jigglypuff,115,45,20,25,25,20,225,76
wigglytuff,140,70,45,50,50,45,350,109
zubat,40,45,35,40,40,55,215,54
golbat,75,80,70,75,75,90,390,171
oddish,45,50,55,75,75,30,255,78
gloom,60,65,70,85,85,40,320,132
vileplume,75,80,85,100,100,50,390,184
paras,35,70,55,55,55,25,240,70
parasect,60,95,80,80,80,30,345,128
venonat,60,55,50,40,40,45,250,75
venomoth,70,65,60,90,90,90,375,138
diglett,10,55,25,45,45,95,230,81
dugtrio,35,80,50,70,70,120,355,153
meowth,40,45,35,40,40,90,250,69
persian,65,70,60,65,65,115,375,148
psyduck,50,52,48,50,50,55,255,80
golduck,80,82,78,80,80,85,405,174
mankey,40,80,35,35,35,70,260,74
primeape,65,105,60,60,60,95,385,149
growlithe,55,70,45,50,50,60,280,91
arcanine,90,110,80,80,80,95,455,213
poliwag,40,50,40,40,40,90,260,77
poliwhirl,65,65,65,50,50,90,335,131
poliwrath,90,85,95,70,70,70,410,185
abra,25,20,15,105,105,90,255,73
kadabra,40,35,30,120,120,105,330,145
alakazam,55,50,45,135,135,120,405,186
machop,70,80,50,35,35,35,270,88
machoke,80,100,70,50,50,45,345,146
machamp,90,130,80,65,65,55,420,193
bellsprout,50,75,35,70,70,40,270,84
weepinbell,65,90,50,85,85,55,345,151
victreebel,80,105,65,100,100,70,420,191
tentacool,40,40,35,100,100,70,285,105
tentacruel,80,70,65,120,120,100,435,205
geodude,40,80,100,30,30,20,270,86
graveler,55,95,115,45,45,35,345,134
golem,80,110,130,55,55,45,420,177
ponyta,50,85,55,65,65,90,345,152
rapidash,65,100,70,80,80,105,420,192
slowpoke,90,65,65,40,40,15,275,99
slowbro,95,75,110,80,80,30,390,164
