bulbasaur,0,0,0,1,0,0,1,64
ivysaur,0,0,0,1,1,0,2,141
venusaur,0,0,0,2,1,0,3,208
charmander,0,0,0,0,0,1,1,65
charmeleon,0,0,0,1,0,1,2,142
charizard,0,0,0,3,0,0,3,209
squirtle,0,0,1,0,0,0,1,66
wartortle,0,0,1,0,1,0,2,143
blastoise,0,0,0,0,3,0,3,210
caterpie,1,0,0,0,0,0,1,53
metapod,0,0,2,0,0,0,2,72
butterfree,0,0,0,2,1,0,3,160
weedle,0,0,0,0,0,1,1,52
kakuna,0,0,2,0,0,0,2,71
beedrill,0,2,0,0,1,0,3,159
pidgey,0,0,0,0,0,1,1,55
pidgeotto,0,0,0,0,0,2,2,113
pidgeot,0,0,0,0,0,3,3,172
rattata,0,0,0,0,0,1,1,57
raticate,0,0,0,0,0,2,2,116
spearow,0,0,0,0,0,1,1,58
fearow,0,0,0,0,0,2,2,162
ekans,0,1,0,0,0,0,1,62
arbok,0,2,0,0,0,0,2,147
pikachu,0,0,0,0,0,2,2,82
raichu,0,0,0,0,0,3,3,122
sandshrew,0,0,1,0,0,0,1,93
sandslash,0,0,2,0,0,0,2,163
nidoran-f,1,0,0,0,0,0,1,59
nidorina,2,0,0,0,0,0,2,117
nidoqueen,3,0,0,0,0,0,3,194
nidoran-m,0,1,0,0,0,0,1,60
nidorino,0,2,0,0,0,0,2,118
nidoking,0,3,0,0,0,0,3,195
clefairy,2,0,0,0,0,0,2,68
clefable,3,0,0,0,0,0,3,129
vulpix,0,0,0,0,0,1,1,63
ninetales,0,0,0,0,1,1,2,178
jigglypuff,2,0,0,0,0,0,2,76
wigglytuff,3,0,0,0,0,0,3,109
zubat,0,0,0,0,0,1,1,54
golbat,0,0,0,0,0,2,2,171
oddish,0,0,0,1,0,0,1,78
gloom,0,0,0,2,0,0,2,132
vileplume,0,0,0,3,0,0,3,184
paras,0,1,0,0,0,0,1,70
parasect,0,2,1,0,0,0,3,128
venonat,0,0,0,0,1,0,1,75
venomoth,0,0,0,1,0,1,2,138
diglett,0,0,0,0,0,1,1,81
dugtrio,0,0,0,0,0,2,2,153
meowth,0,0,0,0,0,1,1,69
persian,0,0,0,0,0,2,2,148
psyduck,0,0,0,1,0,0,1,80
golduck,0,0,0,2,0,0,2,174
mankey,0,1,0,0,0,0,1,74
primeape,0,2,0,0,0,0,2,149
growlithe,0,1,0,0,0,0,1,91
arcanine,0,2,0,0,0,0,2,213
poliwag,0,0,0,0,0,1,1,77
poliwhirl,0,0,0,0,0,2,2,131
poliwrath,0,0,3,0,0,0,3,185
abra,0,0,0,1,0,0,1,75
kadabra,0,0,0,2,0,0,2,145
alakazam,0,0,0,3,0,0,3,186
machop,0,1,0,0,0,0,1,75
machoke,0,2,0,0,0,0,2,146
machamp,0,3,0,0,0,0,3,193
bellsprout,0,1,0,0,0,0,1,84
weepinbell,0,2,0,0,0,0,2,151
victreebel,0,3,0,0,0,0,3,191
tentacool,0,0,0,0,1,0,1,105
tentacruel,0,0,0,0,2,0,2,205
geodude,0,0,1,0,0,0,1,73
graveler,0,0,2,0,0,0,2,134
golem,0,0,3,0,0,0,3,177
ponyta,0,0,0,0,0,1,1,152
rapidash,0,0,0,0,0,2,2,192
slowpoke,1,0,0,0,0,0,1,99
slowbro,0,0,2,0,0,0,2,164
magnemite,0,0,0,1,0,0,1,89
magneton,0,0,0,2,0,0,2,161
farfetchd,0,1,0,0,0,0,1,94
doduo,0,1,0,0,0,0,1,96
dodrio,0,2,0,0,0,0,2,158
seel,0,0,0,0,1,0,1,100
dewgong,0,0,0,0,2,0,2,176
grimer,1,0,0,0,0,0,1,90
muk,1,1,0,0,0,0,2,157
shellder,0,0,1,0,0,0,1,97
cloyster,0,0,2,0,0,0,2,203
gastly,0,0,0,1,0,0,1,95
haunter,0,0,0,2,0,0,2,126
gengar,0,0,0,3,0,0,3,190
onix,0,0,1,0,0,0,1,108
drowzee,0,0,0,0,1,0,1,102
hypno,0,0,0,0,2,0,2,165
krabby,0,1,0,0,0,0,1,115
kingler,0,2,0,0,0,0,2,206
voltorb,0,0,0,0,0,1,1,103
electrode,0,0,0,0,0,2,2,150
exeggcute,0,0,1,0,0,0,1,98
exeggutor,0,0,0,2,0,0,2,212
cubone,0,0,1,0,0,0,1,87
marowak,0,0,2,0,0,0,2,124
hitmonlee,0,2,0,0,0,0,2,139
hitmonchan,0,0,0,0,2,0,2,140
lickitung,2,0,0,0,0,0,2,127
koffing,0,0,1,0,0,0,1,114
weezing,0,0,2,0,0,0,2,173
rhyhorn,0,0,1,0,0,0,1,135
rhydon,0,2,0,0,0,0,2,204
chansey,2,0,0,0,0,0,2,255
tangela,0,0,1,0,0,0,1,166
kangaskhan,2,0,0,0,0,0,2,175
horsea,0,0,0,1,0,0,1,83
seadra,0,0,1,1,0,0,2,155
goldeen,0,1,0,0,0,0,1,111
seaking,0,2,0,0,0,0,2,170
staryu,0,0,0,0,0,1,1,106
starmie,0,0,0,0,0,2,2,207
mr-mime,0,0,0,0,2,0,2,136
scyther,0,1,0,0,0,0,1,187
jynx,0,0,0,2,0,0,2,137
electabuzz,0,0,0,0,0,2,2,156
magmar,0,0,0,2,0,0,2,167
pinsir,0,2,0,0,0,0,2,200
tauros,0,1,0,0,0,1,2,211
magikarp,0,0,0,0,0,1,1,20
gyarados,0,2,0,0,0,0,2,214
lapras,2,0,0,0,0,0,2,219
ditto,1,0,0,0,0,0,1,61
eevee,0,0,0,0,1,0,1,92
vaporeon,2,0,0,0,0,0,2,196
